country_or_region;date;variable;generation_twh
Germany;2015-01-01;Bioenergy;3.78
Germany;2015-01-01;Clean;24.11
Germany;2015-01-01;Coal;22.61
Germany;2015-01-01;Fossil;29.72
Germany;2015-01-01;Gas;5.36
Germany;2015-01-01;Hydro;1.39
Germany;2015-01-01;Nuclear;8.74
Germany;2015-01-01;Other Fossil;1.75
Germany;2015-01-01;Solar;0.6
Germany;2015-01-01;Wind;9.6
Germany;2015-01-01;Wind and solar;10.2
Germany;2015-02-01;Bioenergy;3.42
Germany;2015-02-01;Clean;19.28
Germany;2015-02-01;Coal;23.57
Germany;2015-02-01;Fossil;31.35
Germany;2015-02-01;Gas;6.16
Germany;2015-02-01;Hydro;1.05
Germany;2015-02-01;Nuclear;7.95
Germany;2015-02-01;Other Fossil;1.62
Germany;2015-02-01;Solar;1.47
Germany;2015-02-01;Wind;5.39
Germany;2015-02-01;Wind and solar;6.86
Germany;2015-03-01;Bioenergy;3.79
Germany;2015-03-01;Clean;23.21
Germany;2015-03-01;Coal;23.03
Germany;2015-03-01;Fossil;29.73
Germany;2015-03-01;Gas;5.19
Germany;2015-03-01;Hydro;1.26
Germany;2015-03-01;Nuclear;7.69
Germany;2015-03-01;Other Fossil;1.51
Germany;2015-03-01;Solar;3.06
Germany;2015-03-01;Wind;7.41
Germany;2015-03-01;Wind and solar;10.47
Germany;2015-04-01;Bioenergy;3.7
Germany;2015-04-01;Clean;22.69
Germany;2015-04-01;Coal;19.36
Germany;2015-04-01;Fossil;23.85
Germany;2015-04-01;Gas;3.24
Germany;2015-04-01;Hydro;1.56
Germany;2015-04-01;Nuclear;7.25
Germany;2015-04-01;Other Fossil;1.25
Germany;2015-04-01;Solar;4.75
Germany;2015-04-01;Wind;5.43
Germany;2015-04-01;Wind and solar;10.18
Germany;2015-05-01;Bioenergy;3.83
Germany;2015-05-01;Clean;23.52
Germany;2015-05-01;Coal;15.48
Germany;2015-05-01;Fossil;19.96
Germany;2015-05-01;Gas;3.3
Germany;2015-05-01;Hydro;2.12
